=== Training CNN ===
[121/1000] TrainLoss: 0.000028  ValLoss: 0.000048  Val RMSE: 0.0069  Val NMSE: 0.0010  Val NMSE_dB: -30.164314 dB  TrainTime: 1.30s
[122/1000] TrainLoss: 0.000031  ValLoss: 0.000019  Val RMSE: 0.0044  Val NMSE: 0.0004  Val NMSE_dB: -34.080885 dB  TrainTime: 1.16s
[123/1000] TrainLoss: 0.000015  ValLoss: 0.000017  Val RMSE: 0.0041  Val NMSE: 0.0003  Val NMSE_dB: -34.695913 dB  TrainTime: 1.03s
[124/1000] TrainLoss: 0.000017  ValLoss: 0.000086  Val RMSE: 0.0093  Val NMSE: 0.0017  Val NMSE_dB: -27.617579 dB  TrainTime: 1.05s
[125/1000] TrainLoss: 0.000027  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.109267 dB  TrainTime: 1.23s
[126/1000] TrainLoss: 0.000025  ValLoss: 0.000035  Val RMSE: 0.0059  Val NMSE: 0.0007  Val NMSE_dB: -31.497946 dB  TrainTime: 1.14s
[127/1000] TrainLoss: 0.000017  ValLoss: 0.000102  Val RMSE: 0.0101  Val NMSE: 0.0020  Val NMSE_dB: -26.890014 dB  TrainTime: 1.14s
[128/1000] TrainLoss: 0.000020  ValLoss: 0.000041  Val RMSE: 0.0064  Val NMSE: 0.0008  Val NMSE_dB: -30.858704 dB  TrainTime: 1.18s
[129/1000] TrainLoss: 0.000030  ValLoss: 0.000057  Val RMSE: 0.0076  Val NMSE: 0.0012  Val NMSE_dB: -29.377149 dB  TrainTime: 1.38s
[130/1000] TrainLoss: 0.000016  ValLoss: 0.000019  Val RMSE: 0.0044  Val NMSE: 0.0004  Val NMSE_dB: -34.063702 dB  TrainTime: 1.26s
[131/1000] TrainLoss: 0.000021  ValLoss: 0.000006  Val RMSE: 0.0024  Val NMSE: 0.0001  Val NMSE_dB: -39.352630 dB  TrainTime: 1.13s
[132/1000] TrainLoss: 0.000016  ValLoss: 0.000014  Val RMSE: 0.0038  Val NMSE: 0.0003  Val NMSE_dB: -35.375928 dB  TrainTime: 1.13s
[133/1000] TrainLoss: 0.000020  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0001  Val NMSE_dB: -38.521255 dB  TrainTime: 1.17s
[134/1000] TrainLoss: 0.000022  ValLoss: 0.000024  Val RMSE: 0.0049  Val NMSE: 0.0005  Val NMSE_dB: -33.182233 dB  TrainTime: 1.21s
[135/1000] TrainLoss: 0.000019  ValLoss: 0.000011  Val RMSE: 0.0033  Val NMSE: 0.0002  Val NMSE_dB: -36.467322 dB  TrainTime: 1.38s
[136/1000] TrainLoss: 0.000022  ValLoss: 0.000013  Val RMSE: 0.0036  Val NMSE: 0.0003  Val NMSE_dB: -35.719786 dB  TrainTime: 1.22s
[137/1000] TrainLoss: 0.000021  ValLoss: 0.000010  Val RMSE: 0.0032  Val NMSE: 0.0002  Val NMSE_dB: -36.880749 dB  TrainTime: 1.20s
[138/1000] TrainLoss: 0.000017  ValLoss: 0.000028  Val RMSE: 0.0053  Val NMSE: 0.0006  Val NMSE_dB: -32.516137 dB  TrainTime: 1.19s
