=== Training LWM ===
[128/1000] TrainLoss: 0.000007  ValLoss: 0.000003  Val RMSE: 0.0016  Val NMSE: 0.0001  Val NMSE_dB: -40.271544 dB  TrainTime: 11.72s
[129/1000] TrainLoss: 0.000008  ValLoss: 0.000004  Val RMSE: 0.0019  Val NMSE: 0.0001  Val NMSE_dB: -38.758560 dB  TrainTime: 13.76s
[130/1000] TrainLoss: 0.000011  ValLoss: 0.000004  Val RMSE: 0.0019  Val NMSE: 0.0001  Val NMSE_dB: -38.839241 dB  TrainTime: 11.76s
[131/1000] TrainLoss: 0.000008  ValLoss: 0.000002  Val RMSE: 0.0015  Val NMSE: 0.0001  Val NMSE_dB: -41.224697 dB  TrainTime: 13.80s
[132/1000] TrainLoss: 0.000009  ValLoss: 0.000001  Val RMSE: 0.0010  Val NMSE: 0.0000  Val NMSE_dB: -44.767909 dB  TrainTime: 11.79s
[133/1000] TrainLoss: 0.000011  ValLoss: 0.000005  Val RMSE: 0.0021  Val NMSE: 0.0002  Val NMSE_dB: -37.848355 dB  TrainTime: 11.79s
[134/1000] TrainLoss: 0.000008  ValLoss: 0.000001  Val RMSE: 0.0011  Val NMSE: 0.0000  Val NMSE_dB: -43.256805 dB  TrainTime: 13.80s
[135/1000] TrainLoss: 0.000007  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0002  Val NMSE_dB: -37.421352 dB  TrainTime: 11.79s
[136/1000] TrainLoss: 0.000010  ValLoss: 0.000011  Val RMSE: 0.0032  Val NMSE: 0.0004  Val NMSE_dB: -34.239779 dB  TrainTime: 11.89s
[137/1000] TrainLoss: 0.000008  ValLoss: 0.000009  Val RMSE: 0.0031  Val NMSE: 0.0003  Val NMSE_dB: -34.758138 dB  TrainTime: 13.63s
[138/1000] TrainLoss: 0.000007  ValLoss: 0.000001  Val RMSE: 0.0011  Val NMSE: 0.0000  Val NMSE_dB: -43.281169 dB  TrainTime: 11.69s
[139/1000] TrainLoss: 0.000014  ValLoss: 0.000020  Val RMSE: 0.0045  Val NMSE: 0.0007  Val NMSE_dB: -31.350516 dB  TrainTime: 13.90s
[140/1000] TrainLoss: 0.000006  ValLoss: 0.000007  Val RMSE: 0.0026  Val NMSE: 0.0002  Val NMSE_dB: -36.157075 dB  TrainTime: 11.68s
[141/1000] TrainLoss: 0.000011  ValLoss: 0.000002  Val RMSE: 0.0014  Val NMSE: 0.0001  Val NMSE_dB: -41.810816 dB  TrainTime: 11.90s
[142/1000] TrainLoss: 0.000005  ValLoss: 0.000017  Val RMSE: 0.0041  Val NMSE: 0.0006  Val NMSE_dB: -32.240224 dB  TrainTime: 13.68s
[143/1000] TrainLoss: 0.000007  ValLoss: 0.000009  Val RMSE: 0.0030  Val NMSE: 0.0003  Val NMSE_dB: -35.024062 dB  TrainTime: 11.68s
[144/1000] TrainLoss: 0.000008  ValLoss: 0.000006  Val RMSE: 0.0025  Val NMSE: 0.0002  Val NMSE_dB: -36.351983 dB  TrainTime: 11.86s
[145/1000] TrainLoss: 0.000007  ValLoss: 0.000002  Val RMSE: 0.0014  Val NMSE: 0.0001  Val NMSE_dB: -41.455125 dB  TrainTime: 13.71s
[146/1000] TrainLoss: 0.000007  ValLoss: 0.000001  Val RMSE: 0.0011  Val NMSE: 0.0000  Val NMSE_dB: -43.839696 dB  TrainTime: 11.76s
[147/1000] TrainLoss: 0.000008  ValLoss: 0.000003  Val RMSE: 0.0018  Val NMSE: 0.0001  Val NMSE_dB: -39.304546 dB  TrainTime: 11.62s
[148/1000] TrainLoss: 0.000007  ValLoss: 0.000004  Val RMSE: 0.0020  Val NMSE: 0.0001  Val NMSE_dB: -38.651949 dB  TrainTime: 13.81s
[149/1000] TrainLoss: 0.000007  ValLoss: 0.000001  Val RMSE: 0.0012  Val NMSE: 0.0001  Val NMSE_dB: -42.871590 dB  TrainTime: 11.86s
[150/1000] TrainLoss: 0.000007  ValLoss: 0.000010  Val RMSE: 0.0032  Val NMSE: 0.0004  Val NMSE_dB: -34.483799 dB  TrainTime: 11.67s
[151/1000] TrainLoss: 0.000008  ValLoss: 0.000005  Val RMSE: 0.0022  Val NMSE: 0.0002  Val NMSE_dB: -37.608151 dB  TrainTime: 13.84s
[152/1000] TrainLoss: 0.000006  ValLoss: 0.000025  Val RMSE: 0.0050  Val NMSE: 0.0009  Val NMSE_dB: -30.452193 dB  TrainTime: 11.70s
[153/1000] TrainLoss: 0.000008  ValLoss: 0.000002  Val RMSE: 0.0016  Val NMSE: 0.0001  Val NMSE_dB: -40.581676 dB  TrainTime: 13.67s
[154/1000] TrainLoss: 0.000006  ValLoss: 0.000008  Val RMSE: 0.0027  Val NMSE: 0.0003  Val NMSE_dB: -35.673021 dB  TrainTime: 11.84s
[155/1000] TrainLoss: 0.000007  ValLoss: 0.000001  Val RMSE: 0.0009  Val NMSE: 0.0000  Val NMSE_dB: -45.592518 dB  TrainTime: 11.73s
[156/1000] TrainLoss: 0.000006  ValLoss: 0.000010  Val RMSE: 0.0031  Val NMSE: 0.0003  Val NMSE_dB: -34.560828 dB  TrainTime: 13.81s
[157/1000] TrainLoss: 0.000008  ValLoss: 0.000001  Val RMSE: 0.0011  Val NMSE: 0.0000  Val NMSE_dB: -43.898655 dB  TrainTime: 11.73s
[158/1000] TrainLoss: 0.000005  ValLoss: 0.000003  Val RMSE: 0.0017  Val NMSE: 0.0001  Val NMSE_dB: -39.837313 dB  TrainTime: 11.76s
